File Name,Sliced File Name,Description,Certainty
image0,image0.jpg,fur coat,0.21577267348766327
image0,image0_01_01.jpg,neck brace,0.21222083270549774
image0,image0_01_02.jpg,"bikini, two-piece",0.15037046372890472
image0,image0_02_01.jpg,Band Aid,0.2768406867980957
image0,image0_02_02.jpg,fur coat,0.22394268214702606
image1,image1.jpg,"cellular telephone, cellular phone, cellphone, cell, mobile phone",0.060877274721860886
image1,image1_01_01.jpg,"remote control, remote",0.33454927802085876
image1,image1_01_02.jpg,window shade,0.09751132875680923
image1,image1_02_01.jpg,wig,0.12960174679756165
image1,image1_02_02.jpg,window screen,0.3557436168193817
image10,image10.jpg,"seat belt, seatbelt",0.6022326946258545
image10,image10_01_01.jpg,"lipstick, lip rouge",0.2284708321094513
image10,image10_01_02.jpg,wig,0.14335466921329498
image10,image10_02_01.jpg,mosquito net,0.41180703043937683
image10,image10_02_02.jpg,wig,0.7044018507003784
image100,image100.jpg,soap dispenser,0.4838041067123413
image100,image100_01_01.jpg,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.093356192111969
image100,image100_01_02.jpg,Band Aid,0.2780299484729767
image100,image100_02_01.jpg,"bathtub, bathing tub, bath, tub",0.30480921268463135
image100,image100_02_02.jpg,"plunger, plumber's helper",0.2899129390716553
image11,image11.jpg,"bikini, two-piece",0.26400190591812134
image11,image11_01_01.jpg,"bikini, two-piece",0.19221346080303192
image11,image11_01_02.jpg,"bikini, two-piece",0.2169700711965561
image11,image11_02_01.jpg,wig,0.14748811721801758
image11,image11_02_02.jpg,"brassiere, bra, bandeau",0.6798819899559021
image12,image12.jpg,sombrero,0.9926379919052124
image12,image12_01_01.jpg,sombrero,0.9986019730567932
image12,image12_01_02.jpg,sombrero,0.3795263171195984
image12,image12_02_01.jpg,trifle,0.8936718106269836
image12,image12_02_02.jpg,"pitcher, ewer",0.23053550720214844
image13,image13.jpg,cloak,0.17272751033306122
image13,image13_01_01.jpg,"cowboy hat, ten-gallon hat",0.1039549931883812
image13,image13_01_02.jpg,Weimaraner,0.0993959903717041
image13,image13_02_01.jpg,nail,0.04406246542930603
image13,image13_02_02.jpg,"lens cap, lens cover",0.22270874679088593
image14,image14.jpg,"lipstick, lip rouge",0.11744371056556702
image14,image14_01_01.jpg,"sunglasses, dark glasses, shades",0.11459863185882568
image14,image14_01_02.jpg,"sunglasses, dark glasses, shades",0.11790037900209427
image14,image14_02_01.jpg,"lipstick, lip rouge",0.7996375560760498
image14,image14_02_02.jpg,"lipstick, lip rouge",0.433785617351532
image15,image15.jpg,"bikini, two-piece",0.6481480002403259
image15,image15_01_01.jpg,"maillot, tank suit",0.23219668865203857
image15,image15_01_02.jpg,"bikini, two-piece",0.932227373123169
image15,image15_02_01.jpg,"bikini, two-piece",0.28538623452186584
